



春晚,#genre#
北京冬奥纪实 4K,http://115.171.216.54:4000/udp/225.1.8.120:8002$北京电信组播
北京冬奥纪实 4K,http://115.171.216.54:4000/udp/225.1.8.164:8002$北京电信组播
房山,http://115.171.216.54:4000/udp/225.1.8.68:8002$北京电信组播
朝阳融媒,http://115.171.216.54:4000/udp/225.1.8.69:8002$北京电信组播
密云,http://115.171.216.54:4000/udp/225.1.8.75:8002$北京电信组播
北京新闻,http://webmail.axxe.top:4022/udp/239.3.1.159:8000$北京联通组播
北京影视,http://webmail.axxe.top:4022/udp/239.3.1.158:8000$北京联通组播
北京文艺,http://webmail.axxe.top:4022/rtp/239.3.1.242:8000$北京联通组播
北京财经,http://webmail.axxe.top:4022/udp/239.3.1.116:8000$北京联通组播
北京生活,http://webmail.axxe.top:4022/udp/239.3.1.117:8000$北京联通组播
北京纪实科教,http://webmail.axxe.top:4022/udp/239.3.1.115:8000$北京联通组播
北京卡酷少儿,http://webmail.axxe.top:4022/rtp/239.3.1.189:8000$北京联通组播
北京体育休闲,http://webmail.axxe.top:4022/udp/239.3.1.97:8001$北京联通组播
北京国际频道,http://webmail.axxe.top:4022/udp/239.3.1.235:8000$北京联通组播
北京IPTV淘电影,http://webmail.axxe.top:4022/udp/239.3.1.250:8001$北京联通组播
北京IPTV淘精彩,http://webmail.axxe.top:4022/udp/239.3.1.178:8001$北京联通组播
北京IPTV淘Baby,http://webmail.axxe.top:4022/udp/239.3.1.238:8001$北京联通组播
北京IPTV淘娱乐,http://webmail.axxe.top:4022/udp/239.3.1.100:8001$北京联通组播
北京IPTV淘剧场,http://webmail.axxe.top:4022/udp/239.3.1.95:8001$北京联通组播
北京IPTV萌宠TV,http://webmail.axxe.top:4022/udp/239.3.1.102:8001$北京联通组播
大健康,http://webmail.axxe.top:4022/udp/239.3.1.251:8001$北京联通组播
晴采羽毛球,http://webmail.axxe.top:4022/udp/239.3.1.127:8001$北京联通组播
晴采广场舞,http://webmail.axxe.top:4022/udp/239.3.1.128:8001$北京联通组播
晴采篮球,http://webmail.axxe.top:4022/udp/239.3.1.126:8001$北京联通组播
晴采竞技,http://webmail.axxe.top:4022/udp/239.3.1.125:8001$北京联通组播
房山电视台,http://webmail.axxe.top:4022/udp/239.3.1.96:8001$北京联通组播
朝阳融媒,http://webmail.axxe.top:4022/udp/239.3.1.163:8001$北京联通组播
密云电视台,http://webmail.axxe.top:4022/udp/239.3.1.154:8001$北京联通组播
通州融媒,http://webmail.axxe.top:4022/udp/239.3.1.221:8001$北京联通组播
爱上4K,http://ikuai.zlsip.top:4022/rtp/239.3.1.236:2000
北京4K超清,http://ikuai.zlsip.top:4022/rtp/239.3.1.249:8001
北京新闻,http://ikuai.zlsip.top:4022/rtp/239.3.1.159:8000
北京生活,http://ikuai.zlsip.top:4022/rtp/239.3.1.117:8000
北京影视,http://ikuai.zlsip.top:4022/rtp/239.3.1.158:8000
北京文艺,http://ikuai.zlsip.top:4022/rtp/239.3.1.242:8000
北京财经,http://ikuai.zlsip.top:4022/rtp/239.3.1.116:8000
北京体育,http://ikuai.zlsip.top:4022/rtp/239.3.1.243:8000
北京国际,http://ikuai.zlsip.top:4022/rtp/239.3.1.235:8000
北京纪实科教,http://ikuai.zlsip.top:4022/rtp/239.3.1.115:8000
北京少儿,http://ikuai.zlsip.top:4022/rtp/239.3.1.189:8000
北京淘BABY,http://ikuai.zlsip.top:4022/rtp/239.3.1.238:8001
北京淘剧场,http://ikuai.zlsip.top:4022/rtp/239.3.1.95:8001
北京淘娱乐,http://ikuai.zlsip.top:4022/rtp/239.3.1.100:8001
北京淘电影,http://ikuai.zlsip.top:4022/rtp/239.3.1.250:8001
北京淘精彩,http://ikuai.zlsip.top:4022/rtp/239.3.1.178:8001
朝阳融媒,http://ikuai.zlsip.top:4022/rtp/239.3.1.163:8001
密云电视,http://ikuai.zlsip.top:4022/rtp/239.3.1.154:8001
延庆电视,http://ikuai.zlsip.top:4022/rtp/239.3.1.187:8001
房山电视,http://ikuai.zlsip.top:4022/rtp/239.3.1.96:8001
解密,http://ikuai.zlsip.top:4022/rtp/239.3.1.75:4120
爱上4K,http://iptv.8t.cx:8180/rtp/239.3.1.236:2000
北京4K超清,http://iptv.8t.cx:8180/rtp/239.3.1.249:8001
北京新闻,http://iptv.8t.cx:8180/rtp/239.3.1.159:8000
北京生活,http://iptv.8t.cx:8180/rtp/239.3.1.117:8000
北京影视,http://iptv.8t.cx:8180/rtp/239.3.1.158:8000
北京文艺,http://iptv.8t.cx:8180/rtp/239.3.1.242:8000
北京财经,http://iptv.8t.cx:8180/rtp/239.3.1.116:8000
北京体育,http://iptv.8t.cx:8180/rtp/239.3.1.243:8000
北京国际,http://iptv.8t.cx:8180/rtp/239.3.1.235:8000
北京纪实科教,http://iptv.8t.cx:8180/rtp/239.3.1.115:8000
北京少儿,http://iptv.8t.cx:8180/rtp/239.3.1.189:8000
北京淘BABY,http://iptv.8t.cx:8180/rtp/239.3.1.238:8001
北京淘剧场,http://iptv.8t.cx:8180/rtp/239.3.1.95:8001
北京淘娱乐,http://iptv.8t.cx:8180/rtp/239.3.1.100:8001
北京淘电影,http://iptv.8t.cx:8180/rtp/239.3.1.250:8001
北京淘精彩,http://iptv.8t.cx:8180/rtp/239.3.1.178:8001
朝阳融媒,http://iptv.8t.cx:8180/rtp/239.3.1.163:8001
密云电视,http://iptv.8t.cx:8180/rtp/239.3.1.154:8001
延庆电视,http://iptv.8t.cx:8180/rtp/239.3.1.187:8001
房山电视,http://iptv.8t.cx:8180/rtp/239.3.1.96:8001
解密,http://iptv.8t.cx:8180/rtp/239.3.1.75:4120

重庆,#genre#
重庆卫视超高清,http://27.11.56.147:8008/udp/225.0.4.187:7980
重庆新闻超高清,http://27.11.56.147:8008/udp/225.0.4.188:7980
重庆影视超高清,http://27.11.56.147:8008/udp/225.0.4.192:7980
重庆社会与法超高清,http://27.11.56.147:8008/udp/225.0.4.190:7980
重庆时尚生活超高清,http://27.11.56.147:8008/udp/225.0.4.196:7980
重庆娱乐超高清,http://27.11.56.147:8008/udp/225.0.4.194:7980
重庆新农村超高清,http://27.11.56.147:8008/udp/225.0.4.189:7980
重庆少儿超高清,http://27.11.56.147:8008/udp/225.0.4.191:7980
重庆科教超高清,http://27.11.56.147:8008/udp/225.0.4.193:7980
重庆汽摩超高清,http://27.11.56.147:8008/udp/225.0.4.195:7980
CQTV移动超高清,http://27.11.56.147:8008/udp/225.0.4.215:7980
CQTV移动,http://27.11.56.147:8008/udp/225.0.4.68:7980
时尚购物超高清,http://27.11.56.147:8008/udp/225.0.4.198:7980
重庆卫视超高清,http://27.11.248.192:8007/udp/225.0.4.187:7980
重庆新闻超高清,http://27.11.248.192:8007/udp/225.0.4.188:7980
重庆影视超高清,http://27.11.248.192:8007/udp/225.0.4.192:7980
重庆社会与法超高清,http://27.11.248.192:8007/udp/225.0.4.190:7980
重庆时尚生活超高清,http://27.11.248.192:8007/udp/225.0.4.196:7980
重庆娱乐超高清,http://27.11.248.192:8007/udp/225.0.4.194:7980
重庆新农村超高清,http://27.11.248.192:8007/udp/225.0.4.189:7980
重庆少儿超高清,http://27.11.248.192:8007/udp/225.0.4.191:7980
重庆科教超高清,http://27.11.248.192:8007/udp/225.0.4.193:7980
重庆汽摩超高清,http://27.11.248.192:8007/udp/225.0.4.195:7980
CQTV移动超高清,http://27.11.248.192:8007/udp/225.0.4.215:7980
CQTV移动,http://27.11.248.192:8007/udp/225.0.4.68:7980
时尚购物超高清,http://27.11.248.192:8007/udp/225.0.4.198:7980
重庆卫视超高清,http://113.205.19.231:8088/udp/225.0.4.187:7980
重庆新闻超高清,http://113.205.19.231:8088/udp/225.0.4.188:7980
重庆影视超高清,http://113.205.19.231:8088/udp/225.0.4.192:7980
重庆社会与法超高清,http://113.205.19.231:8088/udp/225.0.4.190:7980
重庆时尚生活超高清,http://113.205.19.231:8088/udp/225.0.4.196:7980
重庆娱乐超高清,http://113.205.19.231:8088/udp/225.0.4.194:7980
重庆新农村超高清,http://113.205.19.231:8088/udp/225.0.4.189:7980
重庆少儿超高清,http://113.205.19.231:8088/udp/225.0.4.191:7980
重庆科教超高清,http://113.205.19.231:8088/udp/225.0.4.193:7980
重庆汽摩超高清,http://113.205.19.231:8088/udp/225.0.4.195:7980
CQTV移动超高清,http://113.205.19.231:8088/udp/225.0.4.215:7980
CQTV移动,http://113.205.19.231:8088/udp/225.0.4.68:7980
时尚购物超高清,http://113.205.19.231:8088/udp/225.0.4.198:7980
重庆移动电视1,http://qxlmlive9.cbg.cn/app_2/ls_58.stream/chunklist.m3u8$官方源
重庆移动电视2,http://qxlmlive9.cbg.cn/app_2/ls_57.stream/chunklist.m3u8$官方源
梁平综合频道,https://qxlmlive9.cbg.cn/applive/lplive01/chunklist.m3u8$官方源
武隆综合频道,https://qxlmlive9.cbg.cn/applive/wltvzh/playlist.m3u8$官方源
忠县综合频道,https://qxlmlive9.cbg.cn/applive/zxtv2/chunklist.m3u8$官方源
永川综合频道,https://qxlmlive9.cbg.cn/applive/yctv01/playlist.m3u8$官方源
巫山县电视台,https://qxlmlive9.cbg.cn/applive/wspd001/chunklist.m3u8$官方源
酉阳综合频道,http://qxlmlive9.cbg.cn/applive/youytv01/playlist.m3u8$官方源
万州电视台,http://wanzhoulive.cbg.cn:8017/c2F0hmi/1000/live.m3u8$官方源
北碚综合频道,http://222.178.181.121:12034/beibei01.m3u8$官方源
大足综合频道,http://218.201.85.71:3170/m3u8$官方源
铜梁综合频道,http://183.64.174.171:40123/ch1.m3u8$官方源
万州三峡移民,http://wanzhoulive.cbg.cn:8017/c2F0hmi/1000/live.m3u8$官方源
璧山综合,http://222.179.42.129:8181/hls1.m3u8$官方源
重庆时尚生活,http://27.12.165.147:4022/udp/225.0.4.196:7980$官方源
华数电影,http://27.12.165.147:4022/udp/225.0.4.172:7980$官方源

福建,#genre#
福州新闻,http://live.zohi.tv/video/s10001-fztv-1/index.m3u8$官方源
福州生活,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8$官方源
福州少儿,http://live.zohi.tv/video/s10001-fztv-4/index.m3u8$官方源
云霄综合,http://live.zzyxxw.com:85/live/xwzh.m3u8$官方源
漳州新闻,http://31182.hlsplay.aodianyun.com/lms_31182/tv_channel_175.m3u8$官方源
三明综合,http://stream.smntv.cn/smtv1/sd/live.m3u8$官方源
三明公共,http://stream.smntv.cn/smtv2/sd/live.m3u8$官方源
厦门卫视,http://110.80.17.38:9901/tsfile/live/0128_1.m3u8$福建电信
福建乡村,http://110.80.17.38:9901/tsfile/live/0130_1.m3u8$福建电信
福建新闻,http://110.80.17.38:9901/tsfile/live/0122_1.m3u8$福建电信
福建旅游,http://110.80.17.38:9901/tsfile/live/0138_1.m3u8$福建电信

甘肃,#genre#
甘肃卫视,rtmp://livein.gstv.com.cn/49048r/y3nga4.flv
经济频道,rtmp://livein.gstv.com.cn/49048r/9kzvr5.flv
文化影视,rtmp://livein.gstv.com.cn/49048r/068vw9.flv
公共应急,rtmp://livein.gstv.com.cn/49048r/2v86i8.flv
少儿频道,rtmp://livein.gstv.com.cn/49048r/4o7e76.flv
都市频道,rtmp://livein.gstv.com.cn/49048r/oj57of.flv
移动电视,rtmp://livein.gstv.com.cn/49048r/y72q36.flv
白银公共,http://live.bygd.cn/bygg/sd/live.m3u8
白银综合,http://live.bygd.cn/byzh/sd/live.m3u8

广东,#genre#
广东卫视,http://zhft.zyyuezi.com:9901/tsfile/live/0125_1.m3u8?key=tvbox6_com&playlive=1&authid=0$广州电信
广东珠江,http://zhft.zyyuezi.com:9901/tsfile/live/1000_1.m3u8?key=tvbox6_com&playlive=1&authid=0$广州电信
广东新闻,http://zhft.zyyuezi.com:9901/tsfile/live/1001_1.m3u8?key=tvbox6_com&playlive=1&authid=0$广州电信
广东公共,http://zhft.zyyuezi.com:9901/tsfile/live/1002_1.m3u8?key=tvbox6_com&playlive=1&authid=0$广州电信
广东体育,http://zhft.zyyuezi.com:9901/tsfile/live/1003_1.m3u8?key=tvbox6_com&playlive=1&authid=0$广州电信
广东少儿,http://zhft.zyyuezi.com:9901/tsfile/live/1004_1.m3u8?key=tvbox6_com&playlive=1&authid=0$广州电信
嘉佳卡通,http://zhft.zyyuezi.com:9901/tsfile/live/1005_1.m3u8?key=tvbox6_com&playlive=1&authid=0$广州电信
IPTV热播剧场,http://zhft.zyyuezi.com:9901/tsfile/live/1008_1.m3u8?key=tvbox6_com&playlive=1&authid=0$广州电信
广东民生,http://zhft.zyyuezi.com:9901/tsfile/live/1013_1.m3u8?key=tvbox6_com&playlive=1&authid=0$广州电信
广东卫视,http://benhaha.top:8888/udp/239.20.0.99:3004
广东卫视,http://benhaha.top:8888/udp/239.20.0.101:2000
广东珠江,http://benhaha.top:8888/udp/239.20.0.63:3148
广东珠江,http://benhaha.top:8888/udp/239.20.0.64:3144
大湾区卫视,http://benhaha.top:8888/udp/239.21.0.84:3676
广东影视,http://benhaha.top:8888/udp/239.21.0.85:3680
广东公共,http://benhaha.top:8888/udp/239.21.0.86:3684
广东少儿,http://benhaha.top:8888/udp/239.21.0.87:3688
嘉佳卡通,http://benhaha.top:8888/udp/239.21.0.94:3716
广东新闻,http://benhaha.top:8888/udp/239.21.0.93:3712
广东科教,http://benhaha.top:8888/udp/239.20.0.98:3008
广东科教,http://benhaha.top:8888/udp/239.20.0.102:2002
广东体育,http://benhaha.top:8888/udp/239.20.0.97:3012
广东体育,http://benhaha.top:8888/udp/239.20.0.103:2004
惠州综合,http://benhaha.top:8888/udp/239.21.0.27:3448
惠州公共,http://benhaha.top:8888/udp/239.21.0.28:3452
河源综合,http://benhaha.top:8888/udp/239.21.0.48:3532
河源公共,http://benhaha.top:8888/udp/239.21.0.49:3536
汕尾综合,http://benhaha.top:8888/udp/239.21.0.89:3696
汕尾生活,http://benhaha.top:8888/udp/239.21.0.90:3700
揭阳综合,http://benhaha.top:8888/udp/239.21.0.91:3704
揭阳生活,http://benhaha.top:8888/udp/239.21.0.92:3708
汕头综合,http://benhaha.top:8888/udp/239.21.0.101:3744
汕头生活,http://benhaha.top:8888/udp/239.21.0.102:3748
汕头文化,http://benhaha.top:8888/udp/239.21.0.103:3752
东莞综合,http://benhaha.top:8888/udp/239.21.0.137:3892
东莞资讯,http://benhaha.top:8888/udp/239.21.0.138:3896
电影测试-4K,http://benhaha.top:8888/udp/239.21.0.129:3860
南国都市-4K,http://benhaha.top:8888/udp/239.21.0.132:3872
广东综艺-4K,http://benhaha.top:8888/udp/239.20.0.59:3164
广东综艺-4K,http://benhaha.top:8888/udp/239.20.0.60:3160
广东综艺-4K,http://benhaha.top:8888/udp/239.20.0.61:3156
广东综艺-4K,http://benhaha.top:8888/udp/239.20.0.62:3152
大湾区卫视,http://113.71.148.237:5555/udp/239.77.0.215:5146
大湾区卫视,http://183.30.201.130:10002/udp/239.77.0.215:5146
广东移动,http://183.11.239.36:808/hls/14/index.m3u8
大湾区卫视,http://183.11.239.36:808/hls/132/index.m3u8
广东新闻,http://183.11.239.36:808/hls/5/index.m3u8
岭南戏曲,http://183.11.239.36:808/hls/16/index.m3u8
经济科教,http://183.11.239.36:808/hls/4/index.m3u8
广东影视,http://183.11.239.36:808/hls/6/index.m3u8
广东少儿,http://183.11.239.36:808/hls/175/index.m3u8
广东综艺,http://183.11.239.36:808/hls/9/index.m3u8$4K高清
广东公共,http://183.11.239.36:808/hls/1/index.m3u8
广东体育,http://183.11.239.36:808/hls/2/index.m3u8
广东民生,http://183.11.239.36:808/hls/18/index.m3u8
广东珠江,http://183.11.239.36:808/hls/83/index.m3u8
广东卫视,http://183.11.239.36:808/hls/80/index.m3u8
广东卫视,http://61.141.202.118:9901/tsfile/live/0125_2.m3u8
广东珠江,http://61.141.202.118:9901/tsfile/live/0125_3.m3u8
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=9e5008d4b91944fa76a957a93ae54870&txTime=1903e5f1cfd
广州影视,https://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=ec79a0d817981989c161f548c48c2954&txTime=1903e79e680
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=4c09e8c2d093bcb692e036ae54ff87c7&txTime=1903e37cd8a
广州竞赛,https://tencentplay.gztv.com/live/jingsai.m3u8?txSecret=9be68e7c35579d02d11f6968531343ea&txTime=1903ea2dd6a
广州法治,https://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=040cda8ae37088f2b96bea7b68bd0eb5&txTime=1903e5b8abe
广州南国都市,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
广东文化,https://glive.grtn.cn/live/wenhua_test0203.m3u8
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen
广州竞赛,http://php.jdshipin.com:8880/gztv.php?id=jingsai
广州影视,http://php.jdshipin.com:8880/gztv.php?id=yingshi
广州法治,http://php.jdshipin.com:8880/gztv.php?id=fazhi
广州南国都市,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
广东文化,https://glive.grtn.cn/live/wenhua_test0203.m3u8
番禺新闻,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv
深圳都市,http://183.11.239.36:808/hls/140/index.m3u8
深圳电视剧,http://183.11.239.36:808/hls/141/index.m3u8
深圳财经生活,http://183.11.239.36:808/hls/151/index.m3u8
深圳娱乐,http://183.11.239.36:808/hls/155/index.m3u8
深圳公共,http://183.11.239.36:808/hls/156/index.m3u8
深圳少儿,http://183.11.239.36:808/hls/157/index.m3u8
深圳体育健康,http://183.11.239.36:808/hls/158/index.m3u8
深圳卫视,http://61.141.202.118:9901/tsfile/live/0126_1.m3u8
深圳都市,http://61.141.202.118:9901/tsfile/live/0126_2.m3u8
深圳电视剧,http://61.141.202.118:9901/tsfile/live/0126_3.m3u8
深圳电视剧,http://jxtv3.gdsz.eu.org:8081/hls/18/index.m3u8
深圳都市,http://jxtv3.gdsz.eu.org:8081/hls/68/index.m3u8
深圳电视剧,http://jxtv3.gdsz.eu.org:8081/hls/69/index.m3u8
深圳体育健康,http://jxtv3.gdsz.eu.org:8081/hls/70/index.m3u8
深圳电视剧,http://jxtv3.gdsz.eu.org:8081/hls/141/index.m3u8
深圳体育健康,ttp://jxtv3.gdsz.eu.org:8081/hls/142/index.m3u8
汕头综合,http://113.92.165.182:60000/udp/239.77.1.130:5146
汕头综合,http://113.92.165.182:60000/udp/239.253.43.45:5146
